id,title,authority,local_government,source_type,canonical_url,status
7d618ddf-d05d-5c98-a54d-693c1210b3e6,Structure Plans Framework and Approvals,City of Cockburn,Cockburn,structure_plan,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Structure-Plans/Structure-Plans-Framework-and-Approvals,active
7d528b0c-6375-5efe-ab7d-0043c463f3e4,"Subdivisions Find out about the subdivision process, engineering, standards and guidelines.",City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Subdivisions,active
a1b2ea31-8af0-5eb6-ab80-a263eda3fc52,Suburb Revitalisation,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-and-Development/Town-planning-and-development/Suburb-revitalisation,active
2638969e-66a1-5b3d-8c64-52ce9be5f76b,"The Lakes Revitalisation Strategy Access information about the Lakes Revitalisation Strategy, including objectives, key issues, planning context, implementation timelines and progress.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Revitalisation-Strategies/The-Lakes-Revitalisation-Strategy,active
09357a83-e528-5b06-a822-6ff9929f2659,Town Planning and Development,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development,active
db32804b-22ba-5533-9a71-c3c4135faae1,Town Planning Scheme,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-and-Development/Town-planning-and-development/Current-development-projects,active
48c9a50d-57e7-5890-a9d0-950841d669da,Town Planning Scheme web page.,"Department of Planning, Lands and Heritage",Cockburn,local_planning_scheme,https://www.wa.gov.au/system/files/2022-11/cockburn3%20schemetext%20.pdf,active
b2273a40-7898-5cbf-95fc-b2518d55389d,"Tree Protection Policy Learn about Cockburn’s Tree Protection Policy, including when approval is required to remove or impact regulated trees and how to apply.",City of Cockburn,Cockburn,local_planning_policy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Tree-Protection-Policy,active
6f564279-ccab-511a-af10-dd0ef608082c,"Underground Power Find out about underground power in the City including suburbs, costs, timelines, benefits, and what to expect.",City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Revitalisation-Strategies/Underground-Power-(1),active
1473ef99-0bf2-531b-99c8-651ba21cbdb1,View the JDAP agendas and minutes,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/City-and-Council/About-Council-Meetings-and-Elections/Agendas-and-Minutes/Joint-Development-Assessment-Panel,active
2de8799d-c9d8-54c3-89b2-827eadc14ee2,View video transcript,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/getattachment/Building-Planning-and-Roads/General-Planning-Information/The-approval-process-for-new-development-in-Cockburn-–-Video-transcript.pdf.aspx?lang=en-AU,active
d0ea9d65-65e1-59e4-88c5-cbdc4c835854,WA legislation register — P&D Act 2005 subsidiary legislation index,Government of Western Australia,,index_page,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,active
4890c32f-4027-5a92-b06c-f9405d68f5b3,WA legislation register — Planning and Development Act 2005 home page,Government of Western Australia,,index_page,https://www.legislation.wa.gov.au/legislation/statutes.nsf/main_mrtitle_722_homepage.html,active
17fddd0a-d4d2-500e-84b9-dd4719d5f830,WAPC Application Guide,"Department of Planning, Lands and Heritage",Cockburn,source_document,https://www.planning.wa.gov.au/docs/default-source/default-document-library/guide-to-subdivision-applications-and-fees.pdf?sfvrsn=556d6dfe_4,active
66d2e541-686e-571e-9805-1fa8f2678646,"Yangebup Revitalisation Strategy Find out about the Yangebup Revitalisation Strategy including objectives, key issues, planning context, implementation timelines and progress.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Revitalisation-Strategies/Yangebup-Revitalisation-Strategy,active
